tic,equity,shares,ebit,net_income,sale,price
BKD,696.356,192.129,18.163,-267.931,4057.088,7.27
AMP,5729,123.939,2243,1893,12886,166.58
MNSB,137.034,8.099,24.312,13.95,63.675,23
CROX,131.905,68.232,142.325,119.497,1230.593,41.89
SPWR,10.163,168.121,-193.389,22.159,1864.225,7.8
UAA,2150.087,451.767,236.77,92.139,5267.132,21.6
LDOS,3413,141,899,667,11094,97.89
CORR,351.246,13.639,48.854,4.079,87.275,44.71
ZIOP,95.01,181.803,-57.858,-117.796,0,4.72
DHT,932.444,146.819,138.868,73.679,535.068,8.28
FNF,5382,275.563,1474,1062,8477,45.35
FBIZ,194.156,8.566,45.65,23.324,125.463,26.33
CPA,1934.906,42.276,435.497,247.002,2707.408,108.08
LYV,1145.82,213.71,349.271,-4.882,11547.969,71.47
UEC,74.227,180.896,-14.978,-17.153,0,0.9192
HEES,307.519,35.848,188.144,87.211,1348.365,33.43
CMG,1683.026,27.755,510.377,350.158,5586.369,837.11
FIS,49440,615,1760,298,10333,139.09
LQDT,116.175,33.687,-14.357,-19.26,226.525,5.96
KRA,751.443,31.751,113.831,51.305,1804.436,25.32
VNDA,410.945,53.55,22.81,115.553,227.188,16.41
AVXL,20.289,52.65,-29.107,-26.295,0,2.59
MWA,590.1,157.462,145,63.8,968,11.98
ATEC,43.631,61.4,-46.927,-57.002,113.427,7.095
VG,567.062,242.849,25.286,-19.482,1189.346,7.41
DK,1666.3,73.47,496.5,310.6,9298.2,33.53
LUNA,67.469,30.149,5.431,5.343,70.516,7.29
SNCR,76.077,44.542,-97.764,-104.593,308.749,4.75
HBMD,314.148,19.067,39.728,16.881,112.538,16.88
PFPT,592.497,56.784,-101.628,-130.265,888.19,114.78
GOGO,-398.89,88.241,36.724,-146.004,835.726,6.4
CUBI,835.324,31.337,190.412,79.327,544.677,23.81
HTBI,408.896,17.984,56.054,27.146,160.154,26.83
RDUS,-42.279,46.19,-112.229,-132.993,173.317,20.16
POST,2925.9,72.1,767.7,124.7,5681.1,109.1
SPLK,1999.429,157.788,-263.435,-336.668,2358.926,149.77
FB,101054,2852,28986,18485,70697,205.25
ESRT,1228.52,181.894,165.965,49.445,742.602,13.96
FANG,13249,159.002,695,240,3964,92.86
CSTE,477.724,34.398,37.202,12.862,545.974,15.07
PSX,24910,441.026,3236,3076,107293,111.41
ASPU,41.748,21.754,-3.05,-5.659,49.061,8
PBYI,17.463,39.203,-39.098,-75.595,272.26,8.75
GMED,1402.452,99.825,176.754,155.21,785.368,58.88
NOW,2127.941,189.461,42.748,626.698,3460.437,282.32
