PERMNO,date,TICKER,RET
90458,20200831,NWE,-0.082119
90458,20200930,NWE,-0.046476
90458,20201030,NWE,0.071752
90458,20201130,NWE,0.112603
90458,20201231,NWE,0.015690
90464,20200131,SPOK,-0.131643
90464,20200228,SPOK,-0.062147
90464,20200331,SPOK,0.085843
90464,20200430,SPOK,-0.040224
90464,20200529,SPOK,0.013158
90464,20200630,SPOK,-0.089581
90464,20200731,SPOK,0.071658
90464,20200831,SPOK,0.094311
90464,20200930,SPOK,-0.122694
90464,20201030,SPOK,-0.045216
90464,20201130,SPOK,0.096366
90464,20201231,SPOK,0.132248
90470,20200131,ATLO,-0.040627
90470,20200228,ATLO,-0.030360
90470,20200331,ATLO,-0.209509
90470,20200430,ATLO,0.048900
90470,20200529,ATLO,-0.051887
90470,20200630,ATLO,-0.017910
90470,20200731,ATLO,-0.050152
90470,20200831,ATLO,0.078378
90470,20200930,ATLO,-0.153384
90470,20201030,ATLO,0.157490
90470,20201130,ATLO,0.114508
90470,20201231,ATLO,0.116690
90490,20200131,TBBK,-0.087895
90490,20200228,TBBK,0.028741
90490,20200331,TBBK,-0.501233
90490,20200430,TBBK,0.148270
90490,20200529,TBBK,0.262554
90490,20200630,TBBK,0.113636
90490,20200731,TBBK,-0.037755
90490,20200831,TBBK,0.007423
90490,20200930,TBBK,-0.090526
90490,20201030,TBBK,0.111111
90490,20201130,TBBK,0.229167
90490,20201231,TBBK,0.156780
90505,20200131,LVS,-0.054027
90505,20200228,LVS,-0.107181
90505,20200331,LVS,-0.258103
90505,20200430,LVS,0.130680
90505,20200529,LVS,-0.001666
90505,20200630,LVS,-0.050063
90505,20200731,LVS,-0.041722
90505,20200831,LVS,0.162007
90505,20200930,LVS,-0.079866
90505,20201030,LVS,0.030004
90505,20201130,LVS,0.159176
90505,20201231,LVS,0.069826
90507,20200131,MIC,0.029645
90507,20200228,MIC,-0.110179
90507,20200331,MIC,-0.331210
90507,20200430,MIC,0.092673
90507,20200529,MIC,0.028996
90507,20200630,MIC,0.081014
90507,20200731,MIC,-0.023786
90507,20200831,MIC,-0.064753
90507,20200930,MIC,-0.040328
90507,20201030,MIC,-0.040536
90507,20201130,MIC,0.253876
90507,20201231,MIC,0.160742
90516,20200131,HLF,-0.185022
90516,20200228,HLF,-0.167053
90516,20200331,HLF,-0.098888
90516,20200430,HLF,0.280864
90516,20200529,HLF,0.173762
90516,20200630,HLF,0.026004
90516,20200731,HLF,0.139173
90516,20200831,HLF,-0.040788
90516,20200930,HLF,-0.050865
90516,20201030,HLF,-0.032369
90516,20201130,HLF,0.061365
90516,20201231,HLF,0.002922
90520,20200131,CE,-0.159357
90520,20200228,CE,-0.088309
90520,20200331,CE,-0.217090
90520,20200430,CE,0.140346
90520,20200529,CE,0.082340
90520,20200630,CE,-0.039706
90520,20200731,CE,0.132963
90520,20200831,CE,0.040638
90520,20200930,CE,0.062284
90520,20201030,CE,0.062169
90520,20201130,CE,0.139371
90520,20201231,CE,0.004717
90533,20200131,WTI,-0.255396
90533,20200228,WTI,-0.371981
90533,20200331,WTI,-0.346154
