gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
011687,20191231,2019,INDL,C,D,STD,ZION,USD,6787.0000,165.0570,1198.0000,816.0000,3245.0000,A,51.9200
011721,20190930,2019,INDL,C,D,STD,OSK,USD,2599.8000,67.9870,800.3000,579.4000,8382.0000,A,94.6500
011729,20191231,2019,INDL,C,D,STD,WTM,USD,3261.5000,3.1850,412.4000,414.5000,878.6000,A,1115.5100
011745,20191231,2019,INDL,C,D,STD,QLYS,USD,386.8030,39.1460,74.6920,69.3360,321.6070,A,83.3700
011756,20191231,2019,INDL,C,D,STD,ALEX,USD,1125.1000,72.3000,41.3000,-36.4000,444.2000,A,20.9600
011770,20191231,2019,INDL,C,D,STD,SF,USD,3304.7910,68.3280,681.2560,448.3960,3514.9610,A,60.6500
011781,20191231,2019,INDL,C,D,STD,OVV,USD,9930.0000,1299.0000,748.0000,234.0000,6726.0000,A,4.6900
011796,20191231,2019,INDL,C,D,STD,LCII,USD,800.6720,25.0460,197.5190,146.5090,2371.4820,A,107.1300
011811,20190630,2019,INDL,C,D,STD,JKHY,USD,1429.0130,76.9880,347.3440,271.8850,1552.6910,A,145.6700
011842,20191231,2019,INDL,C,D,STD,ASB,USD,3665.4070,157.1710,546.9570,326.7900,1553.4340,A,22.0400
011854,20191231,2019,INDL,C,D,STD,NMIH,USD,930.4200,68.3580,237.3950,171.9570,378.7710,A,33.1800
011856,20191231,2019,INDL,C,D,STD,TFC,USD,61282.0000,1342.1660,5721.0000,3224.0000,14682.0000,A,56.3200
011861,20191231,2019,INDL,C,D,STD,VLY,USD,4174.4970,403.2780,571.3310,309.7930,1535.5200,A,11.4500
011896,20191231,2019,INDL,C,D,STD,FMBI,USD,2370.7930,109.9720,383.6340,199.7380,861.6180,A,23.0600
011922,20190930,2019,INDL,C,D,STD,NGVC,USD,156.9060,22.4630,16.7660,9.4160,903.5820,A,9.8700
012035,20191231,2019,INDL,C,D,STD,RBB,USD,407.6180,20.0310,63.3650,39.2090,160.0450,A,21.1700
012081,20191231,2019,INDL,C,D,STD,LAND,USD,276.6160,20.9370,20.0740,1.7410,41.4600,A,12.9700
012123,20200131,2019,INDL,C,D,STD,BIG,USD,845.4640,39.0370,201.8800,242.4640,5323.1800,A,28.7200
012124,20191231,2019,INDL,C,D,STD,MS,USD,73029.0000,1593.9740,21820.0000,9042.0000,53823.0000,A,51.1200
012138,20191231,2019,INDL,C,D,STD,TROW,USD,7102.1000,235.2140,2387.0000,2131.3000,5617.9000,A,121.8400
012140,20191231,2019,INDL,C,D,STD,NNN,USD,3986.6750,171.6940,387.1680,299.1800,673.5990,A,53.6200
012141,20190630,2019,INDL,C,D,STD,MSFT,USD,102330.0000,7643.0000,42959.0000,39240.0000,125843.0000,A,157.7000
012142,20200531,2019,INDL,C,D,STD,ORCL,USD,12074.0000,3067.0000,14139.0000,10135.0000,39068.0000,A,52.9800
012151,20190630,2019,INDL,C,D,STD,COTY,USD,4586.8000,754.2000,596.2000,-3784.2000,8648.5000,A,11.2500
012181,20191231,2019,INDL,C,D,STD,RGEN,USD,1059.7680,52.0780,50.0740,21.4110,270.2450,A,92.5000
012262,20191231,2019,INDL,C,D,STD,ASTE,USD,601.9490,22.5510,40.8900,22.3060,1149.6130,A,42.0000
