tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
CVX,28329,237428,26530,92220,145208,226820.0657,120.51,1882.168,76.6207,154568,48.2,5686,13325,139865,105634,5848,100,29318,817,1799,2924
EAT,177,1258.3,421.6,2036.5,-778.2,1475.625,42,37.5,-20.752,755.1,56.147,13.4,69.6,3217.9,2694.6,23.2,202.8,351.4,61.6,-244.6,154.9
CHD,956.4,6657.4,1092.3,3989.6,2667.8,17262.5614,70.34,245.416,10.8705,723.7,4.8,155.7,356.4,4357.7,2219.5,417.4,850.5,1004.7,73.6,-135.9,615.9
CHDN,221.2,2551,301.2,2040,511,5446.84,137.2,39.7,12.8035,937.3,5.5,96.2,51.8,1329.7,890.3,0,233.8,320.2,70.9,-80,137.5
CBB,403.8,2653.8,523.5,2793.8,-140,527.9079,10.47,50.421,-5.8557,1816.6,4.4,11.6,307.7,1536.7,784.6,44.6,92.8,397.7,141.3,-119.7,-66.6
CTAS,2309.699,7669.885,885.195,4434.683,3235.202,25642.7834,269.08,103.415,31.2837,1563.032,40,145.402,870.369,7085.12,3636.967,1179.309,1196.416,1432.321,105.393,1424.504,876.037
IHRT,1416.348,11021.099,667.398,8075.658,2945.441,1090.9457,16.9,64.553,45.4869,1728.638,11.4,400.3,928.714,3683.527,1140.889,0.507,632.428,934.885,266.274,748.95,11296.689
CLF,897.9,3503.8,409.4,3145.9,357.9,2268.7056,8.4,270.084,1.3251,1929,2.372,352.6,152.6,1989.9,1330.1,317.4,438.5,522.6,126,488.5,292.8
CLX,1305,5116,1440,4557,559,19243.7835,153.54,125.686,4.4476,1034,8.8,,631,6214,3323,512,1107,1287,97,-135,820
COKE,830.276,3126.926,622.195,2675.81,451.116,2028.6851,284.05,9.374,37.0122,1126.739,16.9,9.614,529.634,4826.549,2993.536,225.926,191.331,374.333,45.99,208.081,11.375
KO,20411,86381,26973,65283,21098,236898,55.35,4280,4.4348,12210,86.2,6480,3971,37266,13273,3379,10541,11887,946,-6562,8920
CDE,210.436,1378.636,190.652,711.632,667.004,1951.5543,8.08,241.529,2.7616,1009.913,2.155,,18.666,711.502,801.995,122.078,-344.81,-153.966,26.343,19.784,-341.203
COHR,1094.821,2083.169,240.314,798.433,1284.736,3686.513,166.35,23.982,53.5708,323.434,5.184,305.833,278.761,1430.64,841.55,442.53,86.458,198.143,19.122,854.507,53.825
COHU,439.696,1077.71,148.885,594.638,483.072,945.8758,22.85,41.395,11.6698,104.181,3.2,155.194,127.921,583.329,324.241,130.706,-23.037,35.834,20.556,290.811,-69.7
CL,4179,15034,4038,14476,558,58837.6857,68.84,854.702,0.1369,4252,34.3,883,1440,15693,5900,1400,3759,4278,193,141,2367
CCF,134.382,307.968,22.44,36.741,271.227,942.1682,118.48,9.401,28.8509,29.326,0.726,47.771,39.471,281.351,162.956,42.354,48.46,65.667,0.519,111.942,32.711
AON,16476,29405,15571,25956,3449,48344.109,208.29,232.1,14.5411,1650,50,790,3200,11013,7829,0,2634,3184,307,905,1532
CMCSA,25392,263414,30292,178168,83874,204749.939,44.97,4553.034,18.1694,52360,190,5500,11292,108942,74684,0,21305,34258,4511,-4900,13057
CMA,,73402,,66075,7327,10195.388,71.75,142.096,51.5637,457,7.948,973,49732,3817,542,17,1937,2051,,,1198
CBSH,,26065.789,,22927.317,3138.472,7633.059,67.94,112.35,26.5659,370.637,4.835,491.615,14577.135,1439.114,153.83,14.174,684.994,726.139,,,421.231
C,,1951158,,1757212,193946,168897.2865,79.89,2114.123,82.9006,3100,200,23967,808005,103449,59113,219207,40431,44336,16530,,19401
CMC,2080.005,3758.771,694.59,2134.714,1624.057,1847.8848,22.27,117.925,13.7703,1500.971,11.524,,1119.893,5829.002,4856.528,692.368,392.49,551.161,71.673,1385.415,198.093
CAR,2145,23126,2225,22470,656,2382.536,32.24,73.9,8.8769,15760,30,686,911,9172,4997,0,785,2938,546,-80,302
DXC,8987,26006,7895,20877,5129,3308.5013,37.59,253.525,18.8739,4975,138,3679,4392,19577,14901,0,1002,2944,383,1092,-5369
CMTL,280.314,887.711,145.347,352.629,535.082,721.4717,35.49,24.243,22.0716,28.026,2.013,45.576,145.032,671.797,412.43,74.839,51.798,82.045,9.245,134.967,25.041
CAG,2885.9,22304,3287.4,14353.3,7950.7,16948.366,34.24,487.162,16.1673,2598.9,16.5,553.3,860.8,11054.4,7562.7,1377.9,1805.6,2194.5,496.8,-401.5,840.1
SSTK,376.98,630.512,245.894,302.367,328.145,1522.1114,42.88,35.497,9.2443,104.287,1.116,303.261,47.016,650.523,237.761,0,20.155,70.07,0,131.086,20.108
ED,4272,58079,6287,39866,18213,30126.51,90.47,333,54.1201,40608,14.89,981,2115,12574,8214,352,2676,4360,1004,-2015,1343
BH,145.391,1139.309,139.817,523.011,616.298,171.5699,114.42,0.621,992.4283,410.346,10.906,67.772,21.64,668.838,535.729,4.674,5.616,33.123,20.258,5.574,45.38
CTO,,703.286,,417.873,285.413,287.7264,60.32,4.77,59.835,370.955,0.015,6.475,2.221,44.941,7.105,6.732,12.221,28.018,12.466,,114.973
CMS,2331,26837,2704,21782,5055,17838.0138,62.84,283.864,17.6775,18973,8.789,140,1145,6845,4614,605,1239,2231,523,-373,680
CLR,1207.015,15727.907,1336.026,8619.556,7108.351,12727.8382,34.3,371.074,18.168,14506.854,1.26,39.4,1041.487,4631.947,1065.261,109.536,1256.877,3356.717,269.379,-129.011,775.641
CTB,1452.98,2802.338,604.074,1474.605,1327.733,1443.3363,28.75,50.203,25.1902,1127.994,8.72,391.332,544.792,2752.639,2157.879,464.221,197.448,345.502,33.422,848.906,96.404
COO,1163.4,6274.5,1110.6,2645.9,3628.6,14288.1,321.29,49.1,73.8982,1132.1,12,89,435.3,2653.4,733.4,506.9,586.5,867.3,73.3,52.8,466.7
TAP,2184.4,28859.8,3695.5,15186.7,13673.1,11688.262,53.9,216.3,62.0407,4701,17.7,523.4,820.3,10579.4,5769.4,615.9,1500.9,2328.2,289.2,-1511.1,241.7
GLW,7463,28898,3521,15901,12997,22181.82,29.11,762,13.9199,15841,49.5,2434,1869,11503,5690,2320,1752,3255,275,3942,960
