tic,sale,xrd
HRTX,88.638,174.533
FICO,1294.562,166.499
COOP,2733,0
JOUT,594.209,24.621
VGR,1541.137,0
SCHW,12109,0
CLH,3144.097,0
AIN,900.61,25.75
CYBE,70.117,9.572
MITK,101.31,22.859
FULT,972.266,0
BXS,1135.997,0
FAST,5647.3,0
WABC,211.493,0
MXIM,2191.395,440.166
HLF,5541.8,0
FRC,4506.906,0
APH,8598.9,260.7
IPAR,539.009,0
PII,7025,295.6
ICPT,312.69,191.485
PXD,7024,0
USM,4037,0
MAN,18001,0
ITIC,236.408,0
DX,403.495,0
MGM,5162.082,0
WM,15218,0
DELL,94224,5275
SSP,1857.478,0
SAMG,107.983,0
IIVI,2380.071,339.073
FCX,14198,0
ODP,9710,0
MTH,4501.217,0
ARCH,1467.592,0
WRB,8044.672,0
CINF,7536,0
ORI,7165.9,0
MGPI,395.521,0
DDD,557.24,74.143
DVN,4828,0
LNN,474.692,13.95
LH,13995.5,0
WDAY,4317.996,1721.222
MFA,197.23,0
RPT,193.516,0
STAR,560.575,0
AGM,519.837,0
SRCE,366.92,0
VLO,60115,0
TRS,769.97,0
IEX,2351.646,48.2
MLI,2398.043,0
TCF,2267.008,0
ARGO,1871.5,0
TECH,738.691,65.192
BRO,2613.375,0
AMBA,222.99,140.759
TG,755.29,8.398
SIG,5226.9,0
PRTK,46.924,23.922
NLOK,2556,267
SPWH,1451.767,0
ABBV,45784,7755
APAM,899.567,0
CONE,1033.5,0
GMRE,93.73,0
CGNX,811.02,130.982
PBCT,2231.8,0
ENTA,122.473,136.756
VOYA,7649,0
CRUS,1369.23,342.759
HNGR,1001.15,0
LEA,17045.5,557
EOG,11017.977,0
BCC,5474.838,0
ZIXI,218.478,22.813
SFBS,419.138,0
LSCC,408.12,89.223
TMHC,6129.32,0
AROW,144.554,0
NBN,96.868,0
BMTC,249.652,0
CPF,257.616,0
DGII,279.271,43.765
DGICA,777.819,0
EA,5629,1778
HMHC,1031.292,0
PRTA,0.853,74.884
CNBKA,168.136,0
CIA,238.856,0
FBNC,319.03,0
CHCO,243.102,0
CBU,617.276,0
FBP,804.114,0
GBCI,797.531,0
FRME,558.434,0
TVTX,198.321,228.904
INDB,511.432,0
IBCP,220.574,0
HIFS,115.336,0
OFG,590.426,0
PEBK,70.872,0
LSXMK,8040,0
XONE,59.253,8.845
MCY,3923.011,0
NWLI,690.542,0
ONB,902.582,0
IMGN,132.299,114.592
PEBO,220.776,0
SIGI,2895.352,0
SIVB,4081.758,0
IHC,442.841,0
WSFS,715.43,0
WAFD,690.46,0
WBS,1287.326,0
WSBC,669.462,0
ACNB,105.224,0
SBCF,348.605,0
FFBC,714.086,0
BLFS,48.087,6.72
TALO,587.486,0
TMP,328.19,0
TRST,195.458,0
UBSI,1149.179,0
UFCS,1068.627,0
NVEE,659.296,0
PFSI,3977.148,0
ARTNA,88.141,0
AMNB,112.683,0
IBTX,696.569,0
CMRX,5.372,36.232
CCNE,195.226,0
MODN,161.056,34.361
RBNC,151.83,0
AHH,403.475,0
AMH,1182.836,0
ADMA,42.22,5.907
HMTV,151.184,0
TSC,274.3,0
CVLY,91.605,0
CNOB,322.6,0
HASI,234.87,0
EPZM,15.762,110.933
ECOM,145.072,18.99
TMUS,68397,0
NCBS,211.828,0
CHMG,88.031,0
NRZ,702.802,0
IQV,11359,0
SFM,6468.759,0
FI,390.358,0
BLUE,250.734,587.956
CCS,3161.192,0
NSTG,117.316,62.857
COMM,8435.9,703.3
CZNC,101.673,0
FRBK,151.185,0
NWSA,9008,0
NDLS,393.655,0
FNB,1436.655,0
REXR,330.135,0
CHMI,-42.906,0
DOC,436.248,0
AGIO,203.196,367.47
ESPR,227.547,146.936
FDBC,64.164,0
ANIP,208.475,16.001
FCF,395.685,0
FVCB,69.994,0
THFF,202.961,0
ASC,220.058,0
CWEN,1199,0
SC,8108.462,0
FLIC,145.302,0
USFD,22885,0
PGEN,103.178,41.644
FOXF,890.554,34.292
BUSE,444.863,0
BRX,1057.947,0
FRAF,60.183,0
ALRS,245.473,0
SPNT,881.792,0
AR,3491.699,0
FEYE,940.584,252.771
IRT,211.698,0
MUSA,9504.3,0
XLRN,92.523,173.917
HBNC,269.235,0
CHGG,644.338,170.905
BNFT,268.141,46.175
FATE,31.434,125.623
AAOI,234.623,43.393
ISEE,0,62.784
QTS,537.326,0
RMAX,266.001,0
PINC,1299.592,2.376
GLOB,814.139,0
LGIH,2367.929,0
RNG,1183.657,189.484
MGNX,104.883,193.201
BURL,5763.98,0
SAIC,7056,6
VEEV,1465.069,294.22
PTC,1458.415,256.575
LKFN,239.946,0
ESNT,955.154,0
AERI,83.138,74.007
GLPI,1153.734,0
TCS,990.088,0
TWTR,3716.349,873.011
EXPI,1798.285,0
GLYC,10.163,44.929
AMRX,1992.523,182.61
TNDM,498.83,63.574
KPTI,105.893,150.813
XNCR,122.694,169.802
VCYT,117.483,17.204
MMI,716.906,0
REPH,66.499,0
VRNS,292.689,99.363
CWH,5446.591,0
NBTB,494.558,0
OVBC,55.611,0
KIN,3.464,31.281
RARE,271.03,412.084
OSBC,141.645,0
CARA,135.082,107.851
PWOD,74.806,0
STAY,1042.316,0
TACO,491.883,0
CTBI,231.001,0
INGN,308.487,14.08
BRG,231.242,0
PLPC,466.449,2.8
PRK,483.384,0
SFNC,999.508,0
MBUU,653.163,0
DENN,295.905,0
GIII,2055.146,0
ITCI,22.813,65.782
GSBC,252.753,0
LADR,398.216,0
DRNA,164.307,91.201
RVNC,15.325,125.795
OUT,1236.3,0
FLXN,85.552,54.326
IBP,1653.225,0
OGS,1530.268,0
KN,764.3,92.9
FPI,50.578,0
CNCE,7.902,61.624
STBA,380.183,0
GCI,3405.67,0
LE,1427.448,0
CTRE,178.332,0
CBAY,0,35.882
HEAR,360.093,12.265
LC,573.452,139.05
SABR,1334.1,0
AUB,783.54,0
NLTX,0,24.344
PCTY,546.212,62.766
QUOT,445.887,40.316
MGNI,221.628,51.546
EGRX,187.802,30.785
CPLG,411,0
FCBP,100.222,0
UVSP,282.273,0
ATEN,225.527,58.063
CIO,160.84,0
VRTV,6345.6,0
AKBA,295.307,218.485
WASH,269.378,0
QTWO,402.751,97.381
TWOU,774.533,155.949
GRUB,1819.982,122.949
FIVN,434.908,68.747
MC,943.276,0
CMCT,77.208,0
MEDP,925.925,0
AGRX,0.749,13.5
TMST,830.7,1.8
CVBF,475.762,0
BGSF,277.891,0
BOX,770.77,201.262
TMX,1961,0
CCBG,217.362,0
PAHC,800.354,13.738
PAYC,841.434,90.244
WMS,1982.78,0
SMG,4131.6,39.7
NERV,41.176,22.04
CTLT,3094.3,2.6
ZEN,1029.564,255.4
KEYS,4221,715
TBPH,71.857,260.953
DNOW,1619,0
LOB,374.408,0
PRMW,1953.5,0
ARES,1764.046,0
OEC,1136.383,20.201
HRTG,592.285,0
SLM,2292.234,0
RYAM,1738.899,7
TRUE,278.678,44.93
COG,1466.624,0
MRNS,1.718,51.106
NG,0,0
DMTK,5.885,5.293
ISTR,105.89,0
GPRO,891.925,131.589
ARDX,7.571,65.053
SNDX,1.517,50.435
AMPH,349.846,67.229
VEC,1395.529,0
FFWM,298.538,0
SYF,16472,0
KE,1200.55,17
DOOR,2257.075,17
LTRPA,604,0
RLMD,0,35.973
SPKE,554.89,0
ANET,2317.512,486.594
CSCO,49301,6347
BXMT,779.648,0
HQY,733.57,124.809
HOLX,3776.4,222.5
TRUP,502.028,9.947
SAGE,1114.2,292.714
PLYM,109.832,0
CNNE,585.7,0
LNTH,339.41,32.788
XENT,80.554,19.35
ATRA,0,244.65
OCUL,17.403,28.694
BSIG,718.5,0
ADVM,0,73.309
VKTX,0,31.931
AKTS,1.79,20.523
AXDX,11.165,21.255
LOCO,426.087,0
NBEV,279.471,0
LBRDK,50.706,0
VICR,296.576,50.916
AVNS,714.8,34.9
GVA,3562.459,0
LSTR,4136.38,0
KMPR,5111.4,0
UNVR,8265,0
VYNE,20.993,93.333
W,14145.156,0
AAON,514.551,17.4
CIVB,128.047,0
RYTM,0,90.45
PGRE,697.944,0
GWB,500.689,0
CALA,0,71.015
STOR,697.768,0
VBTX,369.194,0
AFMD,34.185,60.256
PRAH,3183.365,0
NVEC,21.366,3.185
CDK,1960.1,72.9
MMSI,963.875,57.787
FRPT,318.79,0.8
CZR,3474,0
TBK,363.842,0
BSGM,0,18.136
CFG,7676,0
CHRS,462.524,142.759
HUBS,883.026,205.589
BOOT,893.491,0
FGEN,176.319,252.924
NVRO,362.048,45.6
WK,351.594,94.844
SNR,336.281,0
CRBP,3.937,98.267
SIEN,71.241,10.311
SYNH,4415.777,0
UPLD,291.778,39.002
GRBK,976.021,0
MCF,112.92,0
JYNT,58.683,0
IBOC,577.587,0
AXTA,3737.6,55.2
FND,2425.788,0
NEWR,667.648,174.851
TBI,1846.36,0
HCA,51533,0
XLNX,3147.599,904.639
GNSS,43.01,4.554
CURO,847.396,0
