tic,ggroup
RFL,6010
ZUO,4510
FIXX,3520
WH,2530
LEVL,4010
SMAR,4510
DOCU,4510
STXB,4010
UBX,3520
CHX,1010
LASR,4520
GSHD,4030
ROAD,2010
LOVE,2520
INSP,3510
EVLO,3520
SRRK,3520
KNSA,3520
OBNK,4010
MGTA,3520
GSKY,4510
EVOP,4510
MGTX,3520
VRCA,3520
USX,2030
TCDA,3520
TBIO,3520
DOMO,4510
AVLR,4510
AMAL,4010
KZR,3520
BV,2020
IIIV,4510
SKY,2520
AVRO,3520
XERS,3520
BE,2010
EPRT,6010
RPAY,4510
EVER,5020
RVI,6010
BJ,3010
REPL,3520
RUBY,3520
ALLK,3520
CRNX,3520
CNST,3520
IAA,2020
PRVB,3520
TENB,4510
ARLO,4520
SONO,2520
CWK,6010
LQDA,3520
IMXI,4510
FTDR,2530
ELAN,3520
MESA,2030
AMTB,4010
HFFG,3010
FLMN,1010
LTHM,1510
REZI,2010
STRO,3520
EB,5020
ARVN,3520
GRTS,3520
UPWK,2020
GH,3510
KOD,3520
YMAB,3520
ALLO,3520
SIBN,3510
NGM,3520
PLAN,4510
TWST,3520
ESTC,4510
VRRM,4510
STNE,4510
VAPO,3510
AMK,4020
ETRN,1010
AXNX,3510
MRNA,3520
WTRH,2550
DOW,1510
SI,4010
BYND,3020
ORGO,3520
GOSS,3520
HARP,3520
TCRR,3520
PSTX,3520
ALEC,3520
FOXA,5020
CYCN,3520
WTRE,4030
CVET,3510
SWAV,3510
LYFT,2030
SILK,3510
DTIL,3520
TW,4020
XFOR,3520
RMBI,4010
TH,2530
PLMR,4030
CHNG,3510
PD,4510
DSSI,1010
MNRL,1010
ZM,4510
TPTX,3520
PINS,5020
KTB,2520
TMDX,3510
AVTR,3520
UBER,2030
RRBI,4010
NXTC,3520
APLT,3520
SPFI,4010
CRTX,3520
FSLY,4510
WORK,4510
IDYA,3520
PSN,2010
CTVA,1510
CRWD,4510
PSNL,3520
STOK,3520
BBIO,3520
AKRO,3520
BCEL,3520
ADPT,3520
MORF,3520
REAL,2550
KRTX,3520
INBX,3520
CMBM,4520
MDLA,4510
FULC,3520
PHR,3510
HCAT,3510
NOVA,5510
CSTL,3510
PROS,4030
RAPT,3520
DT,4510
ONEW,2550
CFB,4010
OPRT,4020
NVST,3510
OPCH,3510
SWTX,3520
NET,4510
CRNC,4510
PING,4510
DDOG,4510
PTON,2520
VIR,3520
IGMS,3520
TXG,3520
PNTG,3510
FREQ,3520
APRE,3520
BRBR,3030
PGNY,3510
BEAM,3520
PHAT,3520
FDMT,3520
OYST,3520
HBT,4010
ETNB,3520
SITM,4530
SPCE,2010
AHCO,3510
BRMK,4020
BILL,4510
REYN,3030
BIPC,5510
SPT,4510
ARNC,1510
IMVT,3520
ONEM,3510
ARQT,3520
PPD,3520
SDGR,3510
BDTX,3520
RVMD,3520
PASG,3520
VRT,2010
PAE,2010
OTIS,2010
CARR,2010
AZEK,2010
VNT,4520
ALTG,2010
SLQT,4030
NARI,3510
LUNG,3510
ACCD,3510
ORIC,3520
GDYN,4510
ZNTL,3520
MSGE,5020
KROS,3520
PLRX,3520
RNA,3520
RPRX,3520
AMTI,3520
VRM,2550
ACEL,2530
FMTX,3520
AKUS,3520
GBIO,3520
PCVX,3520
EBC,4010
GOCO,4030
RXT,4510
NKTX,3520
BLI,3520
RLAY,3520
ITOS,3520
IAC,5020
LMND,4030
ALXO,3520
NCNO,4510
JAMF,4510
MEG,2020
RKT,4010
VITL,3020
OSH,3510
BIGC,4510
AFIB,3510
NRIX,3520
ANNX,3520
INZY,3520
NTST,6010
ALVR,3520
DCT,4510
BEPC,5510
KYMR,3520
AOUT,2520
MAXN,4530
OM,3510
SUMO,4510
U,4510
DYN,3520
ATHA,3520
LNSR,3510
FROG,4510
AMWL,3510
BNL,6010
PTVE,1510
TSHA,3520
PMVP,3520
ASO,2550
PRLD,3520
EAR,3510
CCCC,3520
ALGS,3520
CRSR,4520
KRON,3520
STTK,3520
MAX,5020
MCFE,4510
PRAX,3520
ARRY,2010
MSP,4510
LESL,2550
AVIR,3520
GATO,1510
NGMS,2530
