tic,RetEarly2020,RetLate2020
CLNY,-0.6084208648,1.748570543
AMPH,-0.2306897234,0.3551214689
ARDX,-0.2425049745,0.1380830378
CBAY,-0.2448985128,2.878372986
GPRO,-0.3963134838,2.160302657
AMAT,-0.2466321842,0.9026453418
INFO,-0.2018157817,0.5072692349
RDUS,-0.3551582909,0.3738456135
ANET,-0.004178651883,0.4345573948
ASPN,-0.2087626098,1.718240897
CCS,-0.4694693923,2.017228535
VRTV,-0.6004064247,1.645041577
TSE,-0.5065245728,1.973079631
WMS,-0.2403889524,1.85305098
TREC,-0.167832823,0.1747895242
CTLT,-0.07726337364,1.003274649
PARR,-0.6944917893,0.969013414
SYF,-0.5498015312,1.221581051
TRUP,-0.3051254583,3.598924649
GLOB,-0.1713347963,1.476215552
OEC,-0.6031083661,1.297587251
ADVM,-0.1519090737,0.1095182499
TKR,-0.4220925941,1.429828919
CDNA,0.01205381203,2.318825853
HQY,-0.3169971542,0.3779394086
ISTR,-0.4679168934,0.318531795
FWONK,-0.4075924924,0.5644493437
LOCO,-0.4418756538,1.142008741
MRNS,-0.06018507143,0.5024611151
TR,0.05594609451,-0.1669019365
NERV,-0.1533051772,-0.6112958355
OCUL,0.2531631999,3.18181495
SAGE,-0.602160644,2.01218861
SPKE,-0.3063094927,0.6218069971
XENT,-0.5240962915,0.9324881665
RYI,-0.5502962732,1.563912625
LTRPA,-0.7551018485,1.411110496
VEC,-0.1921574327,0.2006768508
CFG,-0.531967567,0.9927526328
AFMD,-0.4233577141,2.683544449
BCLI,0.08411208019,-0.02478481819
CDK,-0.3972735583,0.593561093
KEYS,-0.1846444495,0.5785122471
AVNS,-0.2008900603,0.7036767735
KE,-0.377777778,0.4642863572
LBRDA,-0.1409758439,0.4727118519
BGSF,-0.6516437685,0.8360574989
BOOT,-0.7096336102,2.353440043
ENVA,-0.3977558538,0.7094534108
GWB,-0.4038961926,0.03262533364
HUBS,-0.1596853025,1.976501337
SNR,-0.64836621,1.119508841
W,-0.4086533131,3.225479884
BSIG,-0.3649703593,2.023544093
LBRDK,-0.1195229931,0.4303622473
ATRA,-0.4833026178,1.306698377
CALA,-0.2224170902,0.1058561344
PLAY,-0.6732037434,1.295105199
SIEN,-0.7774052386,0.9547756811
VBTX,-0.5170381026,0.8868250295
NVRO,-0.149395507,0.7313426824
PGRE,-0.3606324579,0.06346552515
STOR,-0.5040279091,0.9482377293
AXTA,-0.4319081219,0.6531570601
ADMA,-0.2800002099,-0.3229158107
CHRS,-0.09913927092,0.07151710658
FFWM,-0.4086202775,0.9828810785
FGEN,-0.1897876944,0.06734048215
FRPT,0.08089304394,1.223112073
MRO,-0.7562687999,1.037627793
AROW,-0.2558202152,0.1360694319
SYNH,-0.3372005298,0.7283114261
JYNT,-0.3277574304,1.420274213
EVFM,-0.137763476,-0.5469927726
PRAH,-0.2529014805,0.5105989107
TBK,-0.3161493935,0.8673066829
UPLD,-0.2489500235,0.7110351947
LC,-0.3779712568,0.3452216394
NEWR,-0.2963019631,0.4143593392
WK,-0.2311540365,1.833902454
CTSO,1.00779321,0.03104821157
JRVR,-0.113321331,0.382867628
UE,-0.5291973071,0.5209992166
BOX,-0.1632895949,0.2856126314
SHAK,-0.3664600626,1.246422388
VSTO,0.1764702639,1.699998391
FNWB,-0.3985580549,0.4527105505
DEA,0.04930554497,-0.04997806548
AJX,-0.4331397966,0.7393457946
NVTA,-0.1525104296,2.05852347
VMC,-0.2473405117,0.3839194156
XHR,-0.5106434717,0.4757301925
INOV,-0.1147724035,0.09063534312
RCKT,-0.3870825894,2.931183943
IOVA,0.08146702604,0.5500266165
ATEX,0.0569306099,-0.1767026777
NXRT,-0.4328340409,0.7188202752
ENSV,-0.3710213202,0.0646151356
SUM,-0.3723846548,0.3386665627
SEDG,-0.1389205482,2.897409119
UNIT,-0.2472591394,1.030256322
BPMC,-0.2700034933,0.9177477718
KALV,-0.5704661609,1.482356001
CRBP,-0.04029305952,-0.761450283
ETSY,-0.1322799527,3.628253214
VIRT,0.3186764806,0.2454242756
VKTX,-0.4164589059,0.2029907012
XBIT,-0.4310205605,0.4736335943
GDDY,-0.1591578352,0.4524583826
ASB,-0.4135211914,0.3843573276
NSA,-0.1097553751,0.2561281365
IGT,-0.5891787506,1.847056788
CWEN,-0.04823842679,0.7545424781
APLE,-0.4213462392,0.407850365
CHCT,-0.09903080627,0.2679454213
COLL,-0.2065112574,0.226576602
CABO,0.1060768721,0.3602268465
BLD,-0.3050056259,1.569512393
CC,-0.5014249031,1.912192436
ENR,-0.3934466843,0.4231332284
SPNE,-0.3197340042,1.135865632
KHC,-0.2175536841,0.4529962804
ALRM,-0.09448474649,1.658699272
APPF,0.009096003586,0.6227126992
LNTH,-0.3778641808,0.05720876408
MCRB,0.03478321449,5.862744682
PIRS,-0.3701664018,0.09648929422
WING,-0.07445183962,0.7331088408
EVH,-0.4000002099,1.95212119
GKOS,-0.4334487739,1.438755429
GNL,-0.3237945037,0.3871907974
FL,-0.4288102606,0.8702152621
ATRO,-0.6715564175,0.4411770858
TRU,-0.2260828383,0.5030829285
UNVR,-0.5577562881,0.7733189882
PYPL,-0.1149107066,1.446212722
LITE,-0.07061830157,0.2862967103
CHMA,-0.2641122721,0.1917796966
RBNC,-0.4907027938,0.6849208257
CYRX,0.03705955014,1.570591191
LOB,-0.3427488314,2.821673759
MCFT,-0.5365079302,2.40273734
NTRA,-0.1136829621,2.332886184
OLLI,-0.2904614158,0.7645662448
PVBC,-0.3076313933,0.4059895453
RILY,-0.2545676202,1.489211905
RPD,-0.2265258566,1.080775332
Z,-0.2159342234,2.603553026
CCR,-0.3509874886,-0.3175433385
TXN,-0.2152509272,0.6783292654
OOMA,-0.09826141686,0.2070429048
SRG,-0.7727040792,0.6114159631
TDOC,0.8515289241,0.2899826445
GNK,-0.3790013307,0.1575769639
HLI,0.07284712736,0.3107473096
PLNT,-0.3478842393,0.5940468593
GBT,-0.357276845,-0.1522815811
PRPL,-0.3478761596,4.799294487
RUN,-0.2686457168,5.869309465
FLOW,-0.4184564939,1.039409716
PJT,-0.03744754618,0.7385448798
CSWI,-0.1562930748,0.7354232094
DSKE,-0.5569623483,3.150002661
RGNX,-0.2096649903,0.4008650802
PEN,-0.01789642837,0.08473459929
LIVN,-0.400105789,0.4632023586
HPE,-0.3802022356,0.2639372491
ACBI,-0.3531335885,0.3411938857
EXTN,-0.386973277,-0.07916585996
FCPT,-0.3186786285,0.6476063413
EIX,-0.2649847635,0.1866145953
PFGC,-0.5198132165,0.9259694403
PSTG,-0.2811225164,0.838213213
ABTX,-0.356842809,0.4312191998
