,tic,RetEarly2020,RetLate2020,ggroup
283,PFSI,-0.3482598163,1.994745953,4010
284,IQV,-0.3019230361,0.6611348685,3520
285,ARCT,0.250229125,2.192050713,3520
286,AMBC,-0.427908785,0.2463540702,4030
287,CUBI,-0.5409491005,0.8489192293000001,4010
288,EPZM,-0.3695120783,-0.2998071638,3520
289,COP,-0.5222640331,0.345959621,1010
290,NRC,-0.30709768519999997,-0.06002593306,3510
291,PVH,-0.6416783261,1.494421135,2520
292,TSC,-0.629785956,0.7993786869,4010
293,BLUE,-0.4762394564,-0.058527513370000006,3520
294,CDW,-0.34485864299999996,0.4269363749,4520
295,ESPR,-0.4712393381,-0.1753888402,3520
296,GOGO,-0.6687496815999999,3.542452491,5010
297,NDLS,-0.1498195825,0.6772805458,2530
298,NSTG,-0.1355137481,1.7808747,3520
299,NWSA,-0.3582033425,1.016506807,5020
300,PTCT,-0.07120577343,0.3680805468,3520
301,SAMG,-0.2352941307,0.5269022882,4020
302,COTY,-0.5351215511999999,0.36046661210000003,3030
303,GTT,-0.2995595519,-0.5509430936,4510
304,AMGN,-0.1523037978,0.1575136305,3520
305,CWEN,-0.09269254048,0.7819754466,5510
306,CWEN,-0.04823842679,0.7545424781,5510
307,DOC,-0.25524351289999997,0.3303748486,6010
308,REXR,-0.09732943193,0.21467949,6010
309,SRC,-0.4555711693,0.617413205,6010
310,AGIO,-0.2569633793,0.22125057780000001,3520
311,LIND,-0.7449543439,3.1055131639999995,2530
312,MRTX,-0.4034606936,1.857285853,3520
313,AMH,-0.112933605,0.2999440069,6010
314,IRT,-0.3650575414,0.5742453557,6010
315,MUSA,-0.2789739529,0.5543543226,2550
316,FI,-0.49903279659999994,0.05791718615,1010
317,ASC,-0.4146160751,-0.3771428818,1010
318,FOXF,-0.3962914395,1.516905571,2510
319,SFM,-0.03927638965,0.08122645587,3010
320,RNG,0.2563595384,0.7883505881999999,4510
321,SAIC,-0.1387652455,0.285962625,2020
322,AAOI,-0.36111100590000006,0.1212121026,4520
323,BNFT,-0.593892245,0.6251379932,4510
324,FEYE,-0.3599511731,1.1795836579999999,4510
325,NVEE,-0.1815660309,0.9079659975,2010
326,ISEE,-0.5990673281000001,1.008720364,3520
327,PINC,-0.1362193829,0.08475046693,3510
328,TCFC,-0.37640613799999995,0.21826340989999998,4010
329,XLRN,0.6950199793999999,0.4236108827,3520
330,DOOR,-0.3428886529,1.072497097,2010
331,AR,-0.7498598164,6.644828332,1010
332,BRX,-0.5541117502,0.78546671,6010
333,BURL,-0.3050917827,0.6505738389,2550
